gen	evals	std     	min        	avg     	max    
0  	20   	0.718864	0.0151987  	0.830114	5.1461 
1  	20   	0.85663 	0.000502788	1.02312 	5.1461 
2  	20   	1.69761 	0.000502788	1.32121 	8.938  
3  	20   	1.80326 	0.000502788	1.46938 	8.938  
4  	20   	2.10125 	0.000502788	1.71465 	8.938  
5  	20   	2.12006 	0.000502788	1.7212  	8.938  
6  	20   	2.24092 	0.000502788	1.78198 	8.938  
7  	20   	2.26184 	0.000502788	1.7859  	8.938  
8  	20   	2.59976 	0.000502788	1.97868 	11.8908
9  	20   	2.80556 	0.235515   	2.1473  	11.8908
10 	20   	2.97787 	0.228768   	2.30352 	11.8908
11 	20   	2.95748 	0.333493   	2.23618 	11.8908
12 	20   	3.13485 	0.333493   	2.46541 	11.8908
13 	20   	3.36121 	0.333493   	2.6548  	11.8908
14 	20   	3.43023 	0.333493   	2.75671 	11.8908
15 	20   	3.48184 	0.333493   	2.87256 	11.8908
16 	20   	3.52829 	0.333493   	2.90143 	11.8908
17 	20   	3.52829 	0.333493   	2.90143 	11.8908
18 	20   	3.72249 	0.262046   	3.08484 	11.8908
19 	20   	3.7429  	0.222757   	3.11368 	11.8908
20 	20   	3.85557 	0.222757   	3.21392 	12.0211
21 	20   	3.8788  	0.295014   	3.10576 	12.0211
22 	20   	4.02783 	0.295014   	3.27421 	12.0211
23 	20   	3.9464  	0.295014   	3.16182 	12.0211
24 	20   	3.9464  	0.295014   	3.16182 	12.0211
25 	20   	3.98166 	0.42858    	3.23346 	12.0211
26 	20   	4.11926 	0.42858    	3.44978 	12.2022
27 	20   	4.29572 	0.42858    	3.66134 	13.3905
28 	20   	4.29572 	0.42858    	3.66134 	13.3905
29 	20   	4.35751 	0.400124   	3.7111  	13.3905
