gen	evals	std     	min      	avg     	max    
0  	20   	0.431316	0.0210656	0.425051	1      
1  	20   	0.494806	0.0467215	0.518573	2.71827
2  	20   	0.823731	0.0467215	0.754264	5.51573
3  	20   	1.46878 	0.0467215	1.20881 	6.01964
4  	20   	2.03475 	0.0467215	1.67442 	7.68471
5  	20   	2.11597 	0.0467215	1.76819 	7.68471
6  	20   	2.43545 	0.0467215	2.01279 	8.74468
7  	20   	2.43545 	0.0467215	2.01279 	8.74468
8  	20   	2.46758 	0.0467215	2.03526 	8.74468
9  	20   	2.46758 	0.0467215	2.03526 	8.74468
10 	20   	2.50793 	0.0467215	2.06669 	8.74468
11 	20   	2.50793 	0.0467215	2.06669 	8.74468
12 	20   	2.50793 	0.0467215	2.06669 	8.74468
13 	20   	2.6536  	0.0467215	2.24101 	8.74468
14 	20   	2.67594 	0.0467215	2.25869 	8.74468
15 	20   	2.67594 	0.0467215	2.25869 	8.74468
16 	20   	2.73747 	0.0467215	2.39046 	8.74468
17 	20   	2.73747 	0.0467215	2.39046 	8.74468
18 	20   	2.73747 	0.0467215	2.39046 	8.74468
19 	20   	2.73747 	0.0467215	2.39046 	8.74468
20 	20   	2.73747 	0.0467215	2.39046 	8.74468
21 	20   	2.73844 	0.0467215	2.39086 	8.74468
22 	20   	2.73924 	0.0467215	2.38969 	8.74468
23 	20   	2.74522 	0.0467215	2.39201 	8.74468
24 	20   	2.74522 	0.0467215	2.39201 	8.74468
25 	20   	2.74522 	0.0467215	2.39201 	8.74468
26 	20   	2.74522 	0.0467215	2.39201 	8.74468
27 	20   	2.74522 	0.0467215	2.39201 	8.74468
28 	20   	2.74515 	0.0467215	2.39136 	8.74468
29 	20   	2.74515 	0.0467215	2.39136 	8.74468
