gen	evals	std     	min       	avg     	max    
0  	20   	0.445667	0.00449052	0.428188	1.64589
1  	20   	0.717276	0.10604   	0.645729	4.36848
2  	20   	0.714699	0.10604   	0.853289	4.36848
3  	20   	0.701873	0.10604   	0.939105	4.36848
4  	20   	0.886816	0.10604   	1.03248 	5.34316
5  	20   	0.909902	0.10604   	1.16963 	5.34316
6  	20   	1.19009 	0.10604   	1.38354 	5.7787 
7  	20   	1.32376 	0.10604   	1.48959 	5.7787 
8  	20   	1.44391 	0.10604   	1.55564 	5.83119
9  	20   	1.54739 	0.10604   	1.71229 	5.83119
10 	20   	1.59204 	0.10604   	1.72377 	5.88086
11 	20   	1.70383 	0.10604   	1.76818 	7.53293
12 	20   	1.85351 	0.10604   	1.86009 	7.53293
13 	20   	1.85351 	0.10604   	1.86009 	7.53293
14 	20   	1.88563 	0.10604   	1.92396 	7.53293
15 	20   	1.88563 	0.10604   	1.92396 	7.53293
16 	20   	2.01969 	0.10604   	1.98317 	7.73816
17 	20   	2.01969 	0.10604   	1.98317 	7.73816
18 	20   	2.01969 	0.10604   	1.98317 	7.73816
19 	20   	2.10434 	0.10604   	2.00556 	7.7696 
20 	20   	2.10434 	0.10604   	2.00556 	7.7696 
21 	20   	2.10434 	0.10604   	2.00556 	7.7696 
22 	20   	2.10434 	0.10604   	2.00556 	7.7696 
23 	20   	2.10434 	0.10604   	2.00556 	7.7696 
24 	20   	2.0885  	0.10604   	2.03738 	7.7696 
25 	20   	2.0885  	0.10604   	2.03738 	7.7696 
26 	20   	2.0885  	0.10604   	2.03738 	7.7696 
27 	20   	2.21059 	0.10604   	2.12199 	7.7696 
28 	20   	2.21059 	0.10604   	2.12199 	7.7696 
29 	20   	2.21    	0.10604   	2.11992 	7.7696 
