gen	evals	std     	min      	avg     	max    
0  	20   	0.666002	0.0197879	0.641921	2.20087
1  	20   	0.751269	0.0519616	0.942399	3.01819
2  	20   	1.26752 	0.0519616	1.17451 	6.79036
3  	20   	1.50893 	0.0519616	1.38889 	6.79036
4  	20   	2.05879 	0.0519616	1.71453 	9.54085
5  	20   	2.1598  	0.0519616	1.78768 	9.54085
6  	20   	2.19223 	0.0519616	1.81115 	9.54085
7  	20   	2.5141  	0.0519616	2.00459 	9.54085
8  	20   	2.7062  	0.0519616	2.16752 	9.54085
9  	20   	2.71603 	0.0519616	2.17059 	9.54085
10 	20   	2.73143 	0.0519616	2.17476 	9.85559
11 	20   	2.72468 	0.0519616	2.17505 	9.85559
12 	20   	2.85213 	0.0519616	2.24657 	9.85559
13 	20   	2.85213 	0.0519616	2.24657 	9.85559
14 	20   	2.85213 	0.0519616	2.24657 	9.85559
15 	20   	2.85255 	0.0519616	2.24719 	9.85559
16 	20   	2.85255 	0.0519616	2.24719 	9.85559
17 	20   	2.85789 	0.0519616	2.24911 	9.85559
18 	20   	2.84992 	0.0519616	2.24614 	9.85559
19 	20   	2.84992 	0.0519616	2.24614 	9.85559
