gen	evals	std     	min        	avg     	max    
0  	20   	0.518913	0.000538293	0.438099	1.53409
1  	20   	0.588137	0.000538293	0.564896	1.59049
2  	20   	0.539052	0.0481324  	0.537178	1.59049
3  	20   	0.490941	0.0740769  	0.53853 	1.59049
4  	20   	0.562788	0.0740769  	0.574046	2.93226
5  	20   	1.08219 	0.0740769  	0.769045	6.83703
6  	20   	1.25011 	0.0740769  	0.890782	6.83703
7  	20   	1.60437 	0.0740769  	1.05253 	7.89586
8  	20   	1.931   	0.0740769  	1.29164 	7.89586
9  	20   	2.09196 	0.0740769  	1.40685 	7.89586
10 	20   	2.04672 	0.0740769  	1.4315  	7.89586
11 	20   	2.04672 	0.0740769  	1.4315  	7.89586
12 	20   	2.04672 	0.0740769  	1.4315  	7.89586
13 	20   	2.12703 	0.0740769  	1.51405 	7.89586
14 	20   	2.12703 	0.0740769  	1.51405 	7.89586
15 	20   	2.09197 	0.0740769  	1.46905 	7.89586
16 	20   	2.09197 	0.0740769  	1.46905 	7.89586
17 	20   	2.18961 	0.0740769  	1.56329 	7.89586
18 	20   	2.24742 	0.0740769  	1.59493 	7.89586
19 	20   	2.38462 	0.0740769  	1.7206  	7.93885
20 	20   	2.38492 	0.0740769  	1.72271 	7.93885
21 	20   	2.38492 	0.0740769  	1.72271 	7.93885
22 	20   	2.38492 	0.0740769  	1.72271 	7.93885
23 	20   	2.38644 	0.0740769  	1.72327 	7.93885
24 	20   	2.35002 	0.0740769  	1.65778 	7.93885
25 	20   	2.34982 	0.0740769  	1.65969 	7.93885
26 	20   	2.53673 	0.0740769  	1.81156 	8.05861
27 	20   	2.53673 	0.0740769  	1.81156 	8.05861
28 	20   	2.52881 	0.0740769  	1.81055 	8.05861
29 	20   	2.53348 	0.0740769  	1.81524 	8.05861
