gen	evals	std     	min      	avg     	max    
0  	20   	0.896319	0.0320003	0.630889	5.96808
1  	20   	1.12589 	0.152369 	0.864167	5.96808
2  	20   	1.40812 	0.152369 	1.55311 	5.96808
3  	20   	1.55653 	0.152369 	1.93534 	5.96808
4  	20   	1.86508 	0.152369 	2.3193  	7.69556
5  	20   	1.97805 	0.152369 	2.42204 	7.69556
6  	20   	1.99856 	0.152369 	2.5299  	7.69556
7  	20   	2.05387 	0.152369 	2.56903 	7.69556
8  	20   	2.07963 	0.152369 	2.57766 	7.69556
9  	20   	2.1252  	0.152369 	2.60942 	7.69556
10 	20   	2.13621 	0.152369 	2.61031 	7.69556
11 	20   	2.15085 	0.152369 	2.61674 	7.69556
12 	20   	2.18279 	0.152369 	2.70588 	7.69556
13 	20   	2.1865  	0.152369 	2.71448 	7.69556
14 	20   	2.27617 	0.152369 	2.76169 	7.69556
15 	20   	2.33431 	0.152369 	2.82224 	7.69556
16 	20   	2.38341 	0.152369 	2.84526 	7.69556
17 	20   	2.42506 	0.152369 	2.94018 	7.69556
18 	20   	2.41981 	0.152369 	2.93604 	7.69556
19 	20   	2.41981 	0.152369 	2.93604 	7.69556
20 	20   	2.4244  	0.152369 	2.93274 	7.69556
21 	20   	2.49053 	0.152369 	2.98098 	7.69556
22 	20   	2.49053 	0.152369 	2.98098 	7.69556
23 	20   	2.50698 	0.152369 	2.98908 	7.81752
24 	20   	2.50698 	0.152369 	2.98908 	7.81752
25 	20   	2.50698 	0.152369 	2.98908 	7.81752
26 	20   	2.51244 	0.152369 	2.98675 	7.81752
27 	20   	2.51244 	0.152369 	2.98675 	7.81752
28 	20   	2.52085 	0.152369 	2.99077 	7.81752
29 	20   	2.52085 	0.152369 	2.99077 	7.81752
