gen	evals	std     	min       	avg     	max    
0  	20   	0.436509	0.00259798	0.4661  	1.71752
1  	20   	0.824815	0.149545  	0.653579	5.47675
2  	20   	1.36782 	0.149545  	1.29378 	6.05127
3  	20   	1.71172 	0.149545  	1.80675 	7.51821
4  	20   	1.87642 	0.149545  	2.09334 	7.51821
5  	20   	2.19611 	0.149545  	2.24097 	7.64681
6  	20   	2.21203 	0.149545  	2.27007 	7.64681
7  	20   	2.22194 	0.149545  	2.29193 	7.64681
8  	20   	2.222   	0.149545  	2.29102 	7.64681
9  	20   	2.22931 	0.149545  	2.27994 	7.64681
10 	20   	2.30219 	0.149545  	2.29776 	7.64681
11 	20   	2.43013 	0.149545  	2.50524 	7.68601
12 	20   	2.43489 	0.149545  	2.505   	7.68601
13 	20   	2.44725 	0.149545  	2.61674 	7.68601
14 	20   	2.44654 	0.149545  	2.61952 	7.68601
15 	20   	2.44737 	0.149545  	2.6179  	7.68601
16 	20   	2.52433 	0.149545  	2.65756 	7.68601
17 	20   	2.56741 	0.149545  	2.67969 	7.69016
18 	20   	2.56741 	0.149545  	2.67969 	7.69016
19 	20   	2.65663 	0.149545  	2.70168 	10.4102
20 	20   	2.91487 	0.149545  	2.83078 	12.0314
21 	20   	2.91487 	0.149545  	2.83078 	12.0314
22 	20   	3.14322 	0.149545  	2.9485  	12.0314
23 	20   	3.29558 	0.149545  	3.06511 	12.0314
24 	20   	3.39809 	0.149545  	3.12629 	12.0314
25 	20   	3.39809 	0.149545  	3.12629 	12.0314
26 	20   	3.44963 	0.149545  	3.16522 	12.0314
27 	20   	3.47384 	0.149545  	3.17577 	12.0314
28 	20   	3.47384 	0.149545  	3.17577 	12.0314
29 	20   	3.58845 	0.149545  	3.27947 	12.0314
