gen	evals	std     	min       	avg     	max    
0  	20   	0.780854	0.0617844 	0.686511	1.78747
1  	20   	1.82046 	0.00214607	1.44609 	7.06551
2  	20   	2.04201 	0.00214607	1.5739  	8.78934
3  	20   	2.25741 	0.00214607	1.70639 	8.78934
4  	20   	2.25741 	0.00214607	1.70639 	8.78934
5  	20   	2.36909 	0.00214607	1.73691 	8.85266
6  	20   	2.64461 	0.00214607	1.90341 	11.044 
7  	20   	2.87457 	0.00214607	2.14326 	11.044 
8  	20   	2.97735 	0.00214607	2.26145 	11.044 
9  	20   	3.0134  	0.00214607	2.28179 	11.044 
10 	20   	3.12968 	0.00214607	2.41803 	11.044 
11 	20   	3.18197 	0.00214607	2.44802 	11.044 
12 	20   	3.18197 	0.00214607	2.44802 	11.044 
13 	20   	3.29543 	0.00214607	2.50003 	11.1223
14 	20   	3.50657 	0.00214607	2.65416 	11.1223
15 	20   	3.51766 	0.00214607	2.65865 	11.1223
16 	20   	3.54862 	0.00214607	2.67641 	11.1223
17 	20   	3.54862 	0.00214607	2.67641 	11.1223
18 	20   	3.54862 	0.00214607	2.67641 	11.1223
19 	20   	3.54862 	0.00214607	2.67641 	11.1223
