100,0.566,0.562,0.008,0.888,0.892,0.890,0.876,0.000,0.000,2945,1.000,2945,0,0.000,2945,0,0.000,2945
101,1.000,0.830,0.240,0.245,0.204,0.211,0.207,0.000,0.000,444,1.000,444,0,0.000,444,0,0.000,444
102,1.000,0.789,0.110,0.126,0.125,0.162,0.258,0.043,0.029,2946,1.000,2946,0,0.000,2946,0,0.000,2946
103,0.984,0.833,0.050,0.155,0.277,0.436,0.597,0.157,0.105,1806,0.605,2987,0,0.000,2987,1181,0.395,2987
104,1.000,0.405,0.000,0.000,0.014,0.022,0.081,0.000,0.000,2959,1.000,2959,0,0.000,2959,0,0.000,2959
105,1.000,0.776,0.111,0.140,0.158,0.205,0.271,0.031,0.023,2950,1.000,2950,0,0.000,2950,0,0.000,2950
106,1.000,0.747,0.184,0.174,0.158,0.155,0.218,0.014,0.010,2949,1.000,2949,0,0.000,2949,0,0.000,2949
107,0.017,0.970,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2946,1.000,2946,0,0.000,2946,0,0.000,2946
108,1.000,0.835,0.042,0.166,0.253,0.322,0.568,0.162,0.129,1753,0.587,2987,0,0.000,2987,1234,0.413,2987
109,0.996,0.736,0.115,0.154,0.188,0.197,0.255,0.012,0.007,2960,1.000,2960,0,0.000,2960,0,0.000,2960
10,0.001,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2955,1.000,2955,0,0.000,2955,0,0.000,2955
110,0.563,0.564,0.882,0.888,0.891,0.889,0.000,0.000,0.000,2946,1.000,2946,0,0.000,2946,0,0.000,2946
111,0.983,0.809,0.164,0.173,0.180,0.303,0.482,0.074,0.058,2955,1.000,2955,0,0.000,2955,0,0.000,2955
112,1.000,0.865,0.095,0.128,0.166,0.335,0.511,0.101,0.066,1675,0.997,1680,0,0.000,1680,5,0.003,1680
113,1.000,0.574,0.012,0.020,0.022,0.037,0.122,0.000,0.000,2959,1.000,2959,0,0.000,2959,0,0.000,2959
114,1.000,0.150,0.000,0.000,0.000,0.005,0.068,0.000,0.000,2958,1.000,2958,0,0.000,2958,0,0.000,2958
115,0.999,0.764,0.126,0.178,0.209,0.264,0.324,0.024,0.000,2531,1.000,2531,0,0.000,2531,0,0.000,2531
116,1.000,0.873,0.061,0.158,0.181,0.320,0.529,0.124,0.088,1697,1.000,1697,0,0.000,1697,0,0.000,1697
117,1.000,0.858,0.129,0.343,0.368,0.365,0.296,0.062,0.000,512,1.000,512,0,0.000,512,0,0.000,512
118,0.785,0.658,0.110,0.246,0.537,0.552,0.575,0.010,0.000,2954,1.000,2954,0,0.000,2954,0,0.000,2954
119,1.000,0.747,0.138,0.140,0.136,0.148,0.222,0.015,0.006,2935,1.000,2935,0,0.000,2935,0,0.000,2935
11,0.512,0.529,0.000,0.000,0.949,0.957,0.899,0.000,0.000,2951,1.000,2951,0,0.000,2951,0,0.000,2951
120,1.000,0.976,0.104,0.153,0.183,0.178,0.092,0.000,0.000,392,1.000,392,0,0.000,392,0,0.000,392
121,0.971,0.832,0.070,0.157,0.203,0.256,0.492,0.120,0.076,1765,1.000,1765,0,0.000,1765,0,0.000,1765
122,1.000,0.534,0.132,0.133,0.255,0.347,0.470,0.146,0.148,2918,1.000,2918,0,0.000,2918,0,0.000,2918
123,1.000,0.427,0.000,0.009,0.015,0.040,0.115,0.000,0.000,2950,1.000,2950,0,0.000,2950,0,0.000,2950
124,0.987,0.840,0.199,0.155,0.211,0.373,0.524,0.134,0.111,709,1.000,709,0,0.000,709,0,0.000,709
125,1.000,0.848,0.088,0.197,0.250,0.436,0.689,0.138,0.105,1171,1.000,1171,0,0.000,1171,0,0.000,1171
126,1.000,0.867,0.077,0.157,0.166,0.202,0.404,0.093,0.079,1614,1.000,1614,0,0.000,1614,0,0.000,1614
127,1.000,0.849,0.026,0.133,0.208,0.196,0.315,0.082,0.069,1594,1.000,1594,0,0.000,1594,0,0.000,1594
128,0.570,0.548,0.045,0.879,0.887,0.888,0.884,0.000,0.000,2961,1.000,2961,0,0.000,2961,0,0.000,2961
129,1.000,0.812,0.112,0.131,0.225,0.274,0.344,0.114,0.099,2950,1.000,2950,0,0.000,2950,0,0.000,2950
12,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.627,0.636,109,1.000,109,0,0.000,109,0,0.000,109
130,0.482,0.491,0.000,0.000,0.000,0.000,0.000,0.966,0.969,2957,1.000,2957,0,0.000,2957,0,0.000,2957
131,1.000,0.770,0.153,0.133,0.122,0.147,0.200,0.019,0.009,2964,1.000,2964,0,0.000,2964,0,0.000,2964
132,0.977,0.989,0.137,0.179,0.201,0.189,0.000,0.000,0.000,401,1.000,401,0,0.000,401,0,0.000,401
133,0.014,0.994,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2952,1.000,2952,0,0.000,2952,0,0.000,2952
134,0.999,0.843,0.171,0.310,0.345,0.355,0.260,0.028,0.002,503,1.000,503,0,0.000,503,0,0.000,503
135,1.000,0.623,0.017,0.017,0.068,0.157,0.228,0.000,0.000,2958,1.000,2958,0,0.000,2958,0,0.000,2958
136,1.000,0.808,0.099,0.166,0.247,0.298,0.311,0.117,0.096,2944,1.000,2944,0,0.000,2944,0,0.000,2944
137,0.999,0.865,0.067,0.185,0.247,0.290,0.389,0.116,0.094,1707,1.000,1707,0,0.000,1707,0,0.000,1707
138,0.781,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2966,1.000,2966,0,0.000,2966,0,0.000,2966
139,1.000,0.347,0.000,0.000,0.007,0.021,0.085,0.000,0.000,2955,1.000,2955,0,0.000,2955,0,0.000,2955
13,0.069,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2945,1.000,2945,0,0.000,2945,0,0.000,2945
140,0.998,0.789,0.370,0.331,0.246,0.199,0.160,0.000,0.000,356,1.000,356,0,0.000,356,0,0.000,356
141,1.000,0.111,0.000,0.000,0.000,0.000,0.032,0.000,0.000,2948,1.000,2948,0,0.000,2948,0,0.000,2948
142,1.000,0.369,0.000,0.000,0.005,0.018,0.105,0.000,0.000,2945,1.000,2945,0,0.000,2945,0,0.000,2945
143,1.000,0.865,0.253,0.300,0.325,0.319,0.245,0.000,0.000,473,1.000,473,0,0.000,473,0,0.000,473
144,1.000,0.847,0.040,0.120,0.187,0.186,0.294,0.076,0.062,1568,1.000,1568,0,0.000,1568,0,0.000,1568
145,1.000,0.783,0.121,0.116,0.114,0.149,0.237,0.026,0.011,2957,1.000,2957,0,0.000,2957,0,0.000,2957
146,1.000,0.724,0.116,0.145,0.145,0.156,0.241,0.034,0.024,2960,1.000,2960,0,0.000,2960,0,0.000,2960
147,1.000,0.717,0.134,0.194,0.258,0.245,0.232,0.000,0.000,1319,1.000,1319,0,0.000,1319,0,0.000,1319
148,1.000,0.847,0.060,0.108,0.199,0.203,0.335,0.086,0.070,1573,1.000,1573,0,0.000,1573,0,0.000,1573
149,1.000,0.843,0.296,0.225,0.182,0.177,0.165,0.081,0.078,915,1.000,915,0,0.000,915,0,0.000,915
14,0.984,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2961,1.000,2961,0,0.000,2961,0,0.000,2961
150,0.000,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2966,1.000,2966,0,0.000,2966,0,0.000,2966
151,1.000,0.865,0.064,0.160,0.246,0.282,0.322,0.100,0.089,1647,1.000,1647,0,0.000,1647,0,0.000,1647
152,1.000,0.750,0.102,0.137,0.157,0.197,0.299,0.029,0.008,2966,1.000,2966,0,0.000,2966,0,0.000,2966
153,1.000,0.863,0.075,0.179,0.254,0.264,0.383,0.110,0.096,1671,1.000,1671,0,0.000,1671,0,0.000,1671
154,1.000,0.934,0.447,0.306,0.115,0.000,0.000,0.000,0.000,234,1.000,234,0,0.000,234,0,0.000,234
155,0.999,0.821,0.046,0.091,0.184,0.233,0.353,0.101,0.078,2961,1.000,2961,0,0.000,2961,0,0.000,2961
156,1.000,0.463,0.003,0.011,0.015,0.022,0.072,0.000,0.000,2964,1.000,2964,0,0.000,2964,0,0.000,2964
157,1.000,0.804,0.080,0.108,0.107,0.191,0.307,0.061,0.035,2962,1.000,2962,0,0.000,2962,0,0.000,2962
158,1.000,0.858,0.046,0.137,0.198,0.183,0.295,0.084,0.071,1579,1.000,1579,0,0.000,1579,0,0.000,1579
159,1.000,0.782,0.154,0.134,0.122,0.163,0.245,0.038,0.022,2955,1.000,2955,0,0.000,2955,0,0.000,2955
15,0.554,0.001,0.167,0.165,0.076,0.081,0.075,0.134,0.153,2939,1.000,2939,0,0.000,2939,0,0.000,2939
160,1.000,0.669,0.013,0.019,0.051,0.170,0.226,0.000,0.000,2961,1.000,2961,0,0.000,2961,0,0.000,2961
161,1.000,0.948,0.068,0.187,0.217,0.209,0.122,0.000,0.000,410,1.000,410,0,0.000,410,0,0.000,410
162,1.000,0.942,0.090,0.155,0.223,0.211,0.102,0.000,0.000,412,1.000,412,0,0.000,412,0,0.000,412
163,0.973,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2964,1.000,2964,0,0.000,2964,0,0.000,2964
164,1.000,0.860,0.017,0.156,0.212,0.231,0.368,0.086,0.069,1645,1.000,1645,0,0.000,1645,0,0.000,1645
165,1.000,0.728,0.092,0.150,0.190,0.231,0.294,0.000,0.000,2959,1.000,2959,0,0.000,2959,0,0.000,2959
166,1.000,0.811,0.067,0.091,0.116,0.187,0.284,0.062,0.038,2964,1.000,2964,0,0.000,2964,0,0.000,2964
167,1.000,0.803,0.106,0.131,0.217,0.424,0.558,0.075,0.046,1936,1.000,1936,0,0.000,1936,0,0.000,1936
168,0.992,0.862,0.081,0.158,0.179,0.211,0.438,0.101,0.078,1656,1.000,1656,0,0.000,1656,0,0.000,1656
169,0.984,0.799,0.038,0.079,0.165,0.199,0.254,0.074,0.060,2935,1.000,2935,0,0.000,2935,0,0.000,2935
16,0.090,0.673,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2944,1.000,2944,0,0.000,2944,0,0.000,2944
170,0.997,0.733,0.093,0.131,0.132,0.164,0.252,0.037,0.026,2968,1.000,2968,0,0.000,2968,0,0.000,2968
171,1.000,0.516,0.000,0.015,0.017,0.032,0.095,0.000,0.000,2961,1.000,2961,0,0.000,2961,0,0.000,2961
172,1.000,0.838,0.034,0.167,0.258,0.330,0.579,0.162,0.127,1769,0.589,3005,0,0.000,3005,1236,0.411,3005
173,1.000,0.788,0.163,0.143,0.130,0.180,0.284,0.044,0.023,2961,1.000,2961,0,0.000,2961,0,0.000,2961
174,0.998,0.714,0.107,0.153,0.173,0.193,0.273,0.024,0.014,2969,1.000,2969,0,0.000,2969,0,0.000,2969
175,0.558,0.559,0.883,0.888,0.892,0.811,0.000,0.000,0.000,2963,1.000,2963,0,0.000,2963,0,0.000,2963
176,0.000,0.950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2952,1.000,2952,0,0.000,2952,0,0.000,2952
177,0.977,0.998,0.135,0.170,0.193,0.033,0.000,0.000,0.000,393,1.000,393,0,0.000,393,0,0.000,393
178,0.508,0.533,0.000,0.936,0.942,0.014,0.001,0.000,0.000,2955,1.000,2955,0,0.000,2955,0,0.000,2955
179,1.000,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2953,1.000,2953,0,0.000,2953,0,0.000,2953
17,0.009,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2937,1.000,2937,0,0.000,2937,0,0.000,2937
180,0.987,0.799,0.111,0.115,0.144,0.192,0.234,0.079,0.065,2958,1.000,2958,0,0.000,2958,0,0.000,2958
180,0.987,0.799,0.111,0.115,0.144,0.192,0.234,0.079,0.065,2957,1.000,2957,0,0.000,2957,0,0.000,2957
181,0.998,0.815,0.280,0.265,0.209,0.172,0.143,0.000,0.000,406,1.000,406,0,0.000,406,0,0.000,406
182,0.997,0.814,0.081,0.090,0.148,0.191,0.293,0.076,0.041,2944,1.000,2944,0,0.000,2944,0,0.000,2944
183,1.000,0.839,0.044,0.092,0.173,0.335,0.588,0.126,0.079,2793,1.000,2793,0,0.000,2793,0,0.000,2793
184,0.745,0.670,0.030,0.554,0.585,0.541,0.132,0.033,0.020,2975,1.000,2975,0,0.000,2975,0,0.000,2975
185,0.996,0.839,0.027,0.162,0.277,0.453,0.591,0.173,0.117,1798,0.598,3005,0,0.000,3005,1207,0.402,3005
186,1.000,0.856,0.053,0.140,0.169,0.182,0.291,0.084,0.072,1606,1.000,1606,0,0.000,1606,0,0.000,1606
187,1.000,0.863,0.100,0.278,0.335,0.343,0.250,0.010,0.000,491,1.000,491,0,0.000,491,0,0.000,491
188,0.998,0.636,0.021,0.145,0.191,0.193,0.268,0.050,0.031,2958,1.000,2958,0,0.000,2958,0,0.000,2958
189,1.000,0.737,0.019,0.088,0.221,0.513,0.709,0.259,0.166,2961,1.000,2961,0,0.000,2961,0,0.000,2961
18,0.928,0.494,0.108,0.241,0.394,0.644,0.637,0.188,0.144,451,1.000,451,0,0.000,451,0,0.000,451
190,1.000,0.861,0.086,0.145,0.145,0.191,0.424,0.082,0.062,1616,1.000,1616,0,0.000,1616,0,0.000,1616
191,0.563,0.547,0.902,0.887,0.879,0.880,0.012,0.000,0.000,2972,1.000,2972,0,0.000,2972,0,0.000,2972
192,0.567,0.553,0.905,0.884,0.886,0.889,0.886,0.000,0.000,2960,1.000,2960,0,0.000,2960,0,0.000,2960
193,1.000,0.862,0.062,0.146,0.170,0.210,0.410,0.082,0.062,1615,1.000,1615,0,0.000,1615,0,0.000,1615
194,1.000,0.882,0.381,0.255,0.192,0.215,0.201,0.000,0.000,427,1.000,427,0,0.000,427,0,0.000,427
195,0.991,0.806,0.013,0.090,0.190,0.195,0.247,0.096,0.080,2972,1.000,2972,0,0.000,2972,0,0.000,2972
195,0.991,0.805,0.013,0.091,0.191,0.196,0.247,0.096,0.080,2961,1.000,2961,0,0.000,2961,0,0.000,2961
195,0.991,0.805,0.013,0.091,0.191,0.196,0.248,0.096,0.080,2957,1.000,2957,0,0.000,2957,0,0.000,2957
195,0.991,0.805,0.013,0.091,0.191,0.196,0.247,0.096,0.080,2964,1.000,2964,0,0.000,2964,0,0.000,2964
196,0.562,0.559,0.855,0.398,0.890,0.890,0.885,0.000,0.000,2950,1.000,2950,0,0.000,2950,0,0.000,2950
197,1.000,0.665,0.023,0.116,0.162,0.179,0.238,0.000,0.000,2965,1.000,2965,0,0.000,2965,0,0.000,2965
198,0.235,0.849,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2964,1.000,2964,0,0.000,2964,0,0.000,2964
199,1.000,0.817,0.064,0.079,0.135,0.172,0.212,0.076,0.059,2972,1.000,2972,0,0.000,2972,0,0.000,2972
19,0.336,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2940,1.000,2940,0,0.000,2940,0,0.000,2940
1,0.930,0.784,0.332,0.134,0.178,0.184,0.193,0.061,0.055,1119,1.000,1119,0,0.000,1119,0,0.000,1119
200,1.000,0.644,0.014,0.019,0.032,0.136,0.184,0.000,0.000,2970,1.000,2970,0,0.000,2970,0,0.000,2970
201,1.000,0.186,0.000,0.000,0.000,0.000,0.058,0.000,0.000,2947,1.000,2947,0,0.000,2947,0,0.000,2947
202,0.988,0.404,0.211,0.222,0.325,0.321,0.295,0.110,0.110,525,1.000,525,0,0.000,525,0,0.000,525
203,1.000,0.236,0.000,0.000,0.000,0.022,0.105,0.000,0.000,2966,1.000,2966,0,0.000,2966,0,0.000,2966
204,1.000,0.614,0.014,0.015,0.093,0.152,0.205,0.000,0.000,2956,1.000,2956,0,0.000,2956,0,0.000,2956
205,0.998,0.857,0.012,0.147,0.182,0.198,0.402,0.078,0.059,1634,1.000,1634,0,0.000,1634,0,0.000,1634
206,0.979,0.837,0.187,0.192,0.202,0.204,0.257,0.093,0.082,1541,1.000,1541,0,0.000,1541,0,0.000,1541
207,1.000,0.849,0.022,0.127,0.200,0.182,0.241,0.080,0.069,1573,1.000,1573,0,0.000,1573,0,0.000,1573
208,0.159,0.406,0.000,0.000,0.000,0.000,0.194,0.532,0.498,433,1.000,433,0,0.000,433,0,0.000,433
209,1.000,0.742,0.111,0.125,0.129,0.155,0.254,0.030,0.018,2960,1.000,2960,0,0.000,2960,0,0.000,2960
20,0.946,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2955,1.000,2955,0,0.000,2955,0,0.000,2955
210,0.000,0.985,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2971,1.000,2971,0,0.000,2971,0,0.000,2971
211,0.996,0.756,0.073,0.105,0.173,0.329,0.563,0.114,0.081,2972,1.000,2972,0,0.000,2972,0,0.000,2972
212,1.000,0.846,0.018,0.145,0.272,0.310,0.391,0.124,0.090,2964,1.000,2964,0,0.000,2964,0,0.000,2964
213,1.000,0.945,0.394,0.235,0.049,0.000,0.000,0.000,0.000,344,1.000,344,0,0.000,344,0,0.000,344
214,1.000,0.187,0.000,0.000,0.000,0.025,0.082,0.000,0.000,2965,1.000,2965,0,0.000,2965,0,0.000,2965
215,1.000,0.357,0.000,0.000,0.005,0.016,0.072,0.000,0.000,2968,1.000,2968,0,0.000,2968,0,0.000,2968
216,1.000,0.851,0.125,0.139,0.233,0.233,0.196,0.088,0.091,878,0.993,884,6,0.007,884,0,0.000,884
217,1.000,0.846,0.015,0.138,0.163,0.159,0.299,0.090,0.066,1580,1.000,1580,0,0.000,1580,0,0.000,1580
218,1.000,0.593,0.014,0.031,0.117,0.172,0.230,0.034,0.020,2966,1.000,2966,0,0.000,2966,0,0.000,2966
219,0.982,0.792,0.227,0.186,0.159,0.185,0.225,0.058,0.048,2959,1.000,2959,0,0.000,2959,0,0.000,2959
21,0.521,0.504,0.967,0.973,0.967,0.961,0.000,0.000,0.000,2926,1.000,2926,0,0.000,2926,0,0.000,2926
220,1.000,0.651,0.063,0.131,0.170,0.193,0.334,0.053,0.035,2969,1.000,2969,0,0.000,2969,0,0.000,2969
221,0.508,0.541,0.911,0.921,0.029,0.012,0.015,0.000,0.000,2954,1.000,2954,0,0.000,2954,0,0.000,2954
222,1.000,0.129,0.000,0.000,0.000,0.000,0.003,0.000,0.000,2965,1.000,2965,0,0.000,2965,0,0.000,2965
223,1.000,0.752,0.119,0.133,0.136,0.136,0.153,0.000,0.000,2959,0.992,2983,24,0.008,2983,0,0.000,2983
224,0.568,0.558,0.895,0.878,0.886,0.888,0.885,0.000,0.000,2959,1.000,2959,0,0.000,2959,0,0.000,2959
225,1.000,0.179,0.000,0.000,0.000,0.005,0.079,0.000,0.000,2919,1.000,2919,0,0.000,2919,0,0.000,2919
226,0.768,0.687,0.009,0.534,0.547,0.546,0.180,0.053,0.042,2948,1.000,2948,0,0.000,2948,0,0.000,2948
227,1.000,0.951,0.404,0.260,0.053,0.000,0.000,0.000,0.000,284,1.000,284,0,0.000,284,0,0.000,284
228,0.995,0.811,0.076,0.100,0.142,0.188,0.244,0.066,0.053,2974,1.000,2974,0,0.000,2974,0,0.000,2974
229,0.976,0.788,0.193,0.154,0.145,0.196,0.231,0.077,0.062,2959,1.000,2959,0,0.000,2959,0,0.000,2959
22,0.993,0.998,0.111,0.153,0.174,0.062,0.000,0.000,0.000,385,1.000,385,0,0.000,385,0,0.000,385
230,1.000,0.816,0.072,0.091,0.138,0.186,0.247,0.072,0.057,2967,1.000,2967,0,0.000,2967,0,0.000,2967
231,0.994,0.998,0.103,0.147,0.176,0.163,0.000,0.000,0.000,386,1.000,386,0,0.000,386,0,0.000,386
232,1.000,0.640,0.060,0.144,0.174,0.205,0.266,0.060,0.048,2962,1.000,2962,0,0.000,2962,0,0.000,2962
233,1.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2963,1.000,2963,0,0.000,2963,0,0.000,2963
234,0.995,0.848,0.071,0.163,0.205,0.297,0.207,0.099,0.102,934,0.954,979,45,0.046,979,0,0.000,979
