gen	evals	std     	min       	avg     	max    
0  	20   	0.666058	0.00623376	0.57683 	3.3624 
1  	20   	0.73    	0.0947611 	0.723232	3.3624 
2  	20   	0.978708	0.0947611 	0.773813	5.55334
3  	20   	1.22736 	0.0947611 	0.960984	5.73939
4  	20   	1.65975 	0.0947611 	1.23773 	5.77367
5  	20   	2.0576  	0.0947611 	1.50845 	8.51033
6  	20   	2.06722 	0.0947611 	1.51224 	8.51033
7  	20   	2.08491 	0.0947611 	1.5336  	8.51033
8  	20   	2.22902 	0.0947611 	1.62498 	8.51033
9  	20   	2.20918 	0.0947611 	1.59811 	8.51033
10 	20   	2.26626 	0.0947611 	1.69258 	8.51033
11 	20   	2.28174 	0.0947611 	1.73661 	8.51033
12 	20   	2.43422 	0.0947611 	1.79626 	8.72104
13 	20   	2.65617 	0.0947611 	1.9535  	9.85225
14 	20   	2.77361 	0.0947611 	2.07618 	9.85225
15 	20   	2.83591 	0.0947611 	2.11612 	9.85225
16 	20   	2.83669 	0.0947611 	2.11771 	9.85225
17 	20   	2.94045 	0.0947611 	2.24499 	9.85225
18 	20   	2.99419 	0.0947611 	2.28423 	9.85225
19 	20   	3.06232 	0.0947611 	2.32363 	9.97681
20 	20   	3.1487  	0.0947611 	2.36943 	9.97681
21 	20   	3.11169 	0.0947611 	2.36192 	9.97681
22 	20   	3.11169 	0.0947611 	2.36192 	9.97681
23 	20   	3.04605 	0.0947611 	2.31705 	9.97681
24 	20   	3.04605 	0.0947611 	2.31705 	9.97681
25 	20   	3.04605 	0.0947611 	2.31705 	9.97681
26 	20   	3.04605 	0.0947611 	2.31705 	9.97681
27 	20   	3.04605 	0.0947611 	2.31705 	9.97681
28 	20   	3.1944  	0.0947611 	2.42065 	10.9344
29 	20   	3.39634 	0.0947611 	2.59913 	11.6593
