127,0.994,0.831,0.187,0.213,0.231,0.135,0.026,0.029,0.000,653,1.000,653,0,0.000,653,0,0.000,653
154,0.483,0.489,0.348,0.826,0.553,0.000,0.000,0.025,0.000,161,1.000,161,0,0.000,161,0,0.000,161
155,0.984,0.797,0.086,0.133,0.171,0.257,0.314,0.000,0.000,105,1.000,105,0,0.000,105,0,0.000,105
165,1.000,0.821,0.248,0.291,0.290,0.186,0.046,0.050,0.016,625,1.000,625,0,0.000,625,0,0.000,625
1,1.000,0.850,0.353,0.213,0.206,0.154,0.088,0.000,0.000,136,1.000,136,0,0.000,136,0,0.000,136
2,0.998,0.841,0.231,0.216,0.204,0.122,0.019,0.024,0.000,671,1.000,671,0,0.000,671,0,0.000,671
3,0.989,0.797,0.117,0.160,0.156,0.130,0.071,0.000,0.000,692,1.000,692,0,0.000,692,0,0.000,692
4,0.996,0.803,0.148,0.217,0.217,0.217,0.278,0.000,0.000,115,1.000,115,0,0.000,115,0,0.000,115
5,0.000,0.800,0.049,0.167,0.197,0.000,0.000,0.000,0.000,676,1.000,676,0,0.000,676,0,0.000,676
6,0.982,0.821,0.152,0.221,0.210,0.116,0.028,0.021,0.010,682,1.000,682,0,0.000,682,0,0.000,682
7,0.976,0.771,0.295,0.348,0.341,0.265,0.114,0.023,0.000,132,1.000,132,0,0.000,132,0,0.000,132
8,1.000,0.409,0.094,0.185,0.188,0.087,0.006,0.000,0.000,682,1.000,682,0,0.000,682,0,0.000,682
9,0.954,0.025,0.113,0.158,0.174,0.155,0.092,0.000,0.000,672,1.000,672,0,0.000,672,0,0.000,672
10,1.000,0.861,0.146,0.211,0.228,0.236,0.309,0.024,0.000,123,1.000,123,0,0.000,123,0,0.000,123
11,0.975,0.479,0.069,0.107,0.128,0.095,0.018,0.000,0.000,685,1.000,685,0,0.000,685,0,0.000,685
12,0.978,0.806,0.122,0.172,0.171,0.061,0.025,0.000,0.000,673,1.000,673,0,0.000,673,0,0.000,673
13,0.989,0.996,0.212,0.255,0.270,0.263,0.307,0.044,0.015,137,1.000,137,0,0.000,137,0,0.000,137
14,1.000,0.794,0.161,0.217,0.201,0.167,0.110,0.008,0.000,498,1.000,498,0,0.000,498,0,0.000,498
15,0.848,0.853,0.186,0.151,0.000,0.000,0.000,0.000,0.000,86,1.000,86,0,0.000,86,0,0.000,86
16,0.994,0.611,0.126,0.184,0.181,0.157,0.036,0.000,0.000,675,1.000,675,0,0.000,675,0,0.000,675
17,0.696,0.950,0.054,0.000,0.000,0.000,0.000,0.000,0.000,93,0.795,117,24,0.205,117,0,0.000,117
18,0.624,0.709,0.617,0.643,0.258,0.445,0.323,0.000,0.000,152,0.219,695,0,0.000,695,543,0.781,695
19,1.000,0.829,0.167,0.238,0.232,0.133,0.046,0.022,0.001,676,1.000,676,0,0.000,676,0,0.000,676
19,0.997,0.854,0.144,0.204,0.228,0.138,0.018,0.039,0.009,667,1.000,667,0,0.000,667,0,0.000,667
1,0.990,0.854,0.205,0.182,0.204,0.088,0.013,0.034,0.012,682,1.000,682,0,0.000,682,0,0.000,682
2,0.919,0.834,0.347,0.413,0.433,0.387,0.293,0.000,0.000,150,1.000,150,0,0.000,150,0,0.000,150
