gen	evals	std     	min       	avg     	max    
0  	20   	0.418474	0.0371818 	0.532594	1.43128
1  	20   	0.798695	0.00217217	0.77312 	4.16714
2  	20   	1.44734 	0.00217217	1.12011 	5.86325
3  	20   	1.81263 	0.00217217	1.51883 	7.61462
4  	20   	2.24161 	0.00217217	1.83686 	9.60268
5  	20   	2.34518 	0.0523292 	2.00629 	9.60268
6  	20   	2.41159 	0.0523292 	2.06521 	9.60268
7  	20   	2.38675 	0.0523292 	2.06712 	9.60268
8  	20   	2.38787 	0.0523292 	2.09893 	9.60268
9  	20   	2.43643 	0.0523292 	2.11785 	9.60268
10 	20   	2.43643 	0.0523292 	2.11785 	9.60268
11 	20   	2.51684 	0.0523292 	2.21425 	9.60268
12 	20   	2.51684 	0.0523292 	2.21425 	9.60268
13 	20   	2.65474 	0.0523292 	2.29706 	9.78338
14 	20   	2.65474 	0.0523292 	2.29706 	9.78338
15 	20   	2.65474 	0.0523292 	2.29706 	9.78338
16 	20   	2.80141 	0.0523292 	2.41283 	9.78338
17 	20   	2.80141 	0.0523292 	2.41283 	9.78338
18 	20   	2.80141 	0.0523292 	2.41283 	9.78338
19 	20   	2.8481  	0.0523292 	2.43916 	9.78338
20 	20   	2.8481  	0.0523292 	2.43916 	9.78338
21 	20   	2.8481  	0.0523292 	2.43916 	9.78338
22 	20   	2.8481  	0.0523292 	2.43916 	9.78338
23 	20   	2.8481  	0.0523292 	2.43916 	9.78338
24 	20   	2.90193 	0.0523292 	2.49151 	9.78338
25 	20   	2.90193 	0.0523292 	2.49151 	9.78338
26 	20   	2.90193 	0.0523292 	2.49151 	9.78338
27 	20   	2.90193 	0.0523292 	2.49151 	9.78338
28 	20   	2.90193 	0.0523292 	2.49151 	9.78338
29 	20   	2.90193 	0.0523292 	2.49151 	9.78338
