100,0.003,0.724,0.000,0.000,0.020,0.079,0.114,0.090,0.058,2907,1.000,2907,0,0.000,2907,0,0.000,2907
101,0.831,0.916,0.574,0.206,0.108,0.062,0.060,0.000,0.100,2018,0.649,3111,0,0.000,3111,1093,0.351,3111
102,0.895,0.928,0.728,0.665,0.099,0.084,0.000,0.000,0.000,473,1.000,473,0,0.000,473,0,0.000,473
103,0.366,0.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2943,1.000,2943,0,0.000,2943,0,0.000,2943
104,0.997,0.589,0.000,0.055,0.510,0.450,0.380,0.000,0.000,199,1.000,199,0,0.000,199,0,0.000,199
105,0.022,0.289,0.000,0.000,0.000,0.135,0.287,0.055,0.021,2889,1.000,2889,0,0.000,2889,0,0.000,2889
106,0.516,0.507,0.919,0.020,0.021,0.030,0.019,0.000,0.000,2951,1.000,2951,0,0.000,2951,0,0.000,2951
107,0.574,0.576,0.880,0.900,0.250,0.095,0.021,0.000,0.000,1846,1.000,1846,0,0.000,1846,0,0.000,1846
108,0.919,0.819,0.619,0.541,0.433,0.191,0.000,0.000,0.000,193,1.000,193,0,0.000,193,0,0.000,193
109,0.073,0.866,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2947,1.000,2947,0,0.000,2947,0,0.000,2947
10,0.582,0.621,0.111,0.044,0.040,0.009,0.000,0.048,0.032,1848,0.572,3232,1384,0.428,3232,0,0.000,3232
10,0.582,0.621,0.111,0.044,0.040,0.009,0.000,0.047,0.032,1848,0.572,3230,1382,0.428,3230,0,0.000,3230
10,0.582,0.621,0.111,0.044,0.040,0.009,0.000,0.050,0.032,1848,0.571,3239,1391,0.429,3239,0,0.000,3239
10,0.582,0.621,0.111,0.044,0.040,0.009,0.000,0.048,0.032,1848,0.572,3232,1384,0.428,3232,0,0.000,3232
10,0.582,0.621,0.111,0.044,0.040,0.009,0.000,0.049,0.032,1848,0.571,3235,1387,0.429,3235,0,0.000,3235
110,0.866,0.460,0.000,0.000,0.015,0.024,0.154,0.000,0.000,2932,1.000,2932,0,0.000,2932,0,0.000,2932
111,0.677,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2923,1.000,2923,0,0.000,2923,0,0.000,2923
112,0.927,0.924,0.831,0.792,0.077,0.062,0.024,0.000,0.000,466,1.000,466,0,0.000,466,0,0.000,466
113,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2892,1.000,2892,0,0.000,2892,0,0.000,2892
114,0.994,0.962,0.399,0.266,0.000,0.000,0.000,0.000,0.000,300,1.000,300,0,0.000,300,0,0.000,300
115,0.883,0.229,0.000,0.000,0.000,0.000,0.007,0.000,0.000,2947,1.000,2947,0,0.000,2947,0,0.000,2947
116,0.846,1.000,0.071,0.132,0.144,0.126,0.000,0.000,0.000,325,1.000,325,0,0.000,325,0,0.000,325
117,0.393,1.000,0.062,0.007,0.000,0.000,0.000,0.000,0.000,2964,1.000,2964,0,0.000,2964,0,0.000,2964
118,0.891,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2941,1.000,2941,0,0.000,2941,0,0.000,2941
119,0.989,0.938,0.476,0.351,0.091,0.000,0.000,0.000,0.000,230,1.000,230,0,0.000,230,0,0.000,230
11,0.990,0.575,0.031,0.009,0.326,0.504,0.446,0.000,0.000,223,1.000,223,0,0.000,223,0,0.000,223
120,0.806,1.000,0.000,0.000,0.000,0.000,0.215,0.000,0.000,296,0.848,349,53,0.152,349,0,0.000,349
121,0.515,0.505,0.959,0.973,0.024,0.008,0.000,0.000,0.000,2978,1.000,2978,0,0.000,2978,0,0.000,2978
122,0.858,0.860,0.722,0.745,0.242,0.182,0.097,0.000,0.000,599,1.000,599,0,0.000,599,0,0.000,599
