gen	evals	std     	min       	avg     	max    
0  	20   	0.635083	0.0328572 	0.647658	3.54738
1  	20   	0.97755 	0.00908863	0.831675	6.45433
2  	20   	1.05078 	0.00242589	1.03892 	6.45433
3  	20   	1.08996 	0.191281  	1.14674 	6.45433
4  	20   	1.24998 	0.191281  	1.23554 	6.45433
5  	20   	1.39015 	0.191281  	1.32574 	6.45433
6  	20   	1.56883 	0.191281  	1.44344 	6.45433
7  	20   	1.75905 	0.191281  	1.56617 	6.45433
8  	20   	2.00784 	0.191281  	1.6896  	8.25769
9  	20   	1.98304 	0.191281  	1.66422 	8.25769
10 	20   	2.20353 	0.191281  	1.73374 	8.55267
11 	20   	2.35835 	0.191281  	1.86947 	8.55267
12 	20   	2.30325 	0.191281  	1.8076  	8.55267
13 	20   	2.32219 	0.191281  	1.79748 	8.55267
14 	20   	2.65133 	0.191281  	2.07503 	10.3465
15 	20   	2.8308  	0.191281  	2.49284 	10.3465
16 	20   	3.11013 	0.191281  	3.25096 	10.3465
17 	20   	3.10822 	0.191281  	3.25101 	10.3465
18 	20   	3.10666 	0.191281  	3.17532 	10.4972
19 	20   	3.02896 	0.191281  	3.12148 	10.4972
20 	20   	3.12884 	0.191281  	3.2495  	10.4972
21 	20   	3.30229 	0.191281  	3.41311 	11.6367
22 	20   	3.35875 	0.191281  	3.46212 	11.6367
23 	20   	3.40487 	0.191281  	3.57576 	11.6367
24 	20   	3.40487 	0.191281  	3.57576 	11.6367
25 	20   	3.40183 	0.191281  	3.5803  	11.6367
26 	20   	3.53316 	0.191281  	3.81995 	11.6367
27 	20   	3.43451 	0.191281  	3.85808 	11.6367
28 	20   	3.47746 	0.191281  	3.81975 	11.9914
29 	20   	3.47746 	0.191281  	3.81975 	11.9914
