gen	evals	std     	min       	avg     	max    
0  	20   	0.371025	0.00650234	0.347353	1.62346
1  	20   	1.63648 	0.0201895 	0.928734	8.85764
2  	20   	1.72235 	0.0201895 	1.0889  	8.85764
3  	20   	1.74281 	0.0201895 	1.18867 	8.85764
4  	20   	1.91474 	0.0201895 	1.34273 	8.85764
5  	20   	2.12157 	0.0201895 	1.52415 	8.85764
6  	20   	2.352   	0.0201895 	1.62208 	8.85764
7  	20   	2.86433 	0.0201895 	1.99052 	10.0251
8  	20   	2.8611  	0.0201895 	2.00533 	10.0251
9  	20   	2.93504 	0.0201895 	2.06245 	10.0251
10 	20   	3.15171 	0.0201895 	2.20409 	11.1438
11 	20   	3.15171 	0.0201895 	2.20409 	11.1438
12 	20   	3.13326 	0.0201895 	2.20541 	11.1438
13 	20   	3.40746 	0.0201895 	2.33004 	11.8053
14 	20   	3.67396 	0.0201895 	2.62889 	11.973 
15 	20   	3.67396 	0.0201895 	2.62889 	11.973 
16 	20   	3.683   	0.0201895 	2.64919 	11.973 
17 	20   	3.683   	0.0201895 	2.64919 	11.973 
18 	20   	3.85212 	0.0201895 	2.84242 	11.973 
19 	20   	3.85212 	0.0201895 	2.84242 	11.973 
20 	20   	4.07069 	0.0201895 	3.03042 	12.3412
21 	20   	4.07069 	0.0201895 	3.03042 	12.3412
22 	20   	4.17128 	0.0201895 	3.11138 	12.3412
23 	20   	4.32769 	0.0201895 	3.31685 	12.6314
24 	20   	4.46498 	0.0201895 	3.48931 	12.6314
25 	20   	4.46498 	0.0201895 	3.48931 	12.6314
26 	20   	4.46498 	0.0201895 	3.48931 	12.6314
27 	20   	4.46498 	0.0201895 	3.48931 	12.6314
28 	20   	4.53671 	0.0201895 	3.55409 	12.6314
29 	20   	4.74332 	0.0201895 	3.77326 	12.6314
