gen	evals	std     	min      	avg     	max    
0  	20   	0.834352	0.0191786	0.909697	5.23743
1  	20   	0.810823	0.125096 	1.07053 	5.23743
2  	20   	1.12072 	0.125096 	1.22213 	6.32699
3  	20   	1.11676 	0.125096 	1.23604 	6.32699
4  	20   	1.31104 	0.125096 	1.36913 	6.32699
5  	20   	1.81076 	0.125096 	1.64235 	8.99592
6  	20   	2.33366 	0.125096 	1.8838  	10.9967
7  	20   	2.45129 	0.125096 	1.95107 	10.9967
8  	20   	2.59904 	0.125096 	2.07162 	10.9967
9  	20   	2.59904 	0.125096 	2.07162 	10.9967
10 	20   	2.59904 	0.125096 	2.07162 	10.9967
11 	20   	2.59904 	0.125096 	2.07162 	10.9967
12 	20   	2.79615 	0.125096 	2.21654 	10.9967
13 	20   	2.79934 	0.125096 	2.21202 	10.9967
14 	20   	2.9147  	0.125096 	2.3428  	10.9967
15 	20   	3.05741 	0.125096 	2.50578 	10.9967
16 	20   	3.07259 	0.125096 	2.51199 	10.9967
17 	20   	3.04101 	0.125096 	2.47601 	10.9967
18 	20   	3.18152 	0.125096 	2.58428 	10.9967
19 	20   	3.30603 	0.125096 	2.69545 	11.6343
