gen	evals	std     	min       	avg     	max    
0  	20   	0.563846	0.00430162	0.52196 	1.7553 
1  	20   	0.643731	0.0294908 	0.644113	1.7792 
2  	20   	0.906022	0.0294908 	0.756883	5.34445
3  	20   	1.53487 	0.119517  	1.06686 	7.92581
4  	20   	1.79931 	0.119517  	1.24924 	7.92581
5  	20   	1.78459 	0.119517  	1.23001 	7.92581
6  	20   	1.77883 	0.119517  	1.22592 	7.92581
7  	20   	1.77883 	0.119517  	1.22592 	7.92581
8  	20   	1.85933 	0.119517  	1.30185 	7.92581
9  	20   	1.85933 	0.119517  	1.30185 	7.92581
10 	20   	1.85933 	0.119517  	1.30185 	7.92581
11 	20   	1.85933 	0.119517  	1.30185 	7.92581
12 	20   	2.17835 	0.119517  	1.54067 	7.92581
13 	20   	2.17835 	0.119517  	1.54067 	7.92581
14 	20   	2.18874 	0.119517  	1.53377 	7.92581
15 	20   	2.32054 	0.119517  	1.64985 	7.92581
16 	20   	2.43626 	0.119517  	1.78644 	7.92581
17 	20   	2.51837 	0.119517  	1.84932 	8.13411
18 	20   	2.54191 	0.119517  	1.89577 	8.17933
19 	20   	2.57231 	0.119517  	1.99486 	8.17933
20 	20   	2.57231 	0.119517  	1.99486 	8.17933
21 	20   	2.58128 	0.119517  	1.99365 	8.17933
22 	20   	2.58128 	0.119517  	1.99365 	8.17933
23 	20   	2.58128 	0.119517  	1.99365 	8.17933
24 	20   	2.58128 	0.119517  	1.99365 	8.17933
25 	20   	2.58128 	0.119517  	1.99365 	8.17933
26 	20   	2.64288 	0.119517  	2.03274 	8.17933
27 	20   	2.64288 	0.119517  	2.03274 	8.17933
28 	20   	2.64288 	0.119517  	2.03274 	8.17933
29 	20   	2.64288 	0.119517  	2.03274 	8.17933
